Business Line,Anonymized_PCP_UID,Anonymized_Facility_UID,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
Florida Geriatrics,P14,F298,30,29,27,28,29,30,29,29,27,26,27,28
Florida Geriatrics,P14,F30,48,44,44,45,46,41,46,49,48,44,44,44
Florida Geriatrics,P14,F494,19,16,13,12,11,11,10,10,0,0,0,0
Florida Geriatrics,P14,F63,31,30,30,29,32,30,33,37,35,35,37,40
Florida Geriatrics,P14,F69,42,42,42,41,39,38,36,35,36,35,42,44
Florida Geriatrics,P14,F70,17,21,17,16,16,16,15,17,17,18,19,17
Florida Geriatrics,P14,F844,10,10,11,12,12,13,13,13,14,14,12,10
Florida Geriatrics,P14,F94,12,11,10,10,9,9,9,9,0,0,0,0
Florida Geriatrics,P17,F1069,0,0,0,0,2,4,5,8,11,14,13,13
Florida Geriatrics,P17,F1096,0,0,0,0,0,0,3,3,5,7,6,5
Florida Geriatrics,P17,F151,21,22,23,23,23,23,22,21,24,23,24,22
Florida Geriatrics,P17,F154,24,28,30,29,26,24,24,21,22,22,20,21
Florida Geriatrics,P17,F156,66,64,59,63,64,67,61,65,60,59,55,52
Florida Geriatrics,P17,F188,10,10,11,12,13,13,13,13,14,15,13,12
Florida Geriatrics,P17,F205,31,30,32,31,32,33,35,36,40,36,38,40
Florida Geriatrics,P17,F268,30,0,0,0,1,0,0,0,0,0,0,0
Florida Geriatrics,P17,F269,17,51,51,52,57,57,52,57,54,52,48,50
Florida Geriatrics,P17,F30,48,44,44,45,46,41,46,49,48,44,44,44
Florida Geriatrics,P17,F42,49,50,50,49,53,51,48,47,47,45,49,49
Florida Geriatrics,P17,F494,19,16,13,12,11,11,10,10,0,0,0,0
Florida Geriatrics,P17,F660,2,2,13,26,26,26,23,24,25,24,24,24
Florida Geriatrics,P17,F786,6,13,14,15,17,18,19,19,19,16,17,18
Florida Geriatrics,P17,F95,41,39,39,38,38,34,32,29,28,28,28,28
Florida Geriatrics,P19,F156,66,64,59,63,64,67,61,65,60,59,55,52
Florida Geriatrics,P19,F271,17,18,18,19,19,20,18,16,16,16,13,12
Florida Geriatrics,P19,F33,46,45,46,48,44,43,43,43,43,42,46,50
Florida Geriatrics,P19,F786,6,13,14,15,17,18,19,19,19,16,17,18
Florida Geriatrics,P20,F140,21,22,22,20,23,21,21,19,19,19,20,19
Florida Geriatrics,P20,F272,28,29,33,34,31,29,28,29,28,28,26,25
Florida Geriatrics,P20,F34,87,86,86,88,79,71,69,73,75,75,77,77
Florida Geriatrics,P20,F349,10,10,10,9,9,8,11,11,14,17,21,23
Florida Geriatrics,P20,F35,22,22,21,23,21,22,19,20,20,19,22,22
Florida Geriatrics,P20,F457,8,8,12,12,14,13,13,13,13,13,13,13
Florida Geriatrics,P20,F458,4,4,4,3,3,3,4,3,3,3,3,2
Florida Geriatrics,P20,F459,9,9,9,9,7,7,7,8,8,8,8,7
Florida Geriatrics,P24,F109,63,63,64,65,65,66,66,64,67,66,65,65
Florida Geriatrics,P24,F110,61,60,57,61,61,62,61,57,57,57,54,53
Florida Geriatrics,P24,F140,21,22,22,20,23,21,21,19,19,19,20,19
Florida Geriatrics,P24,F146,35,35,38,39,40,38,39,38,36,38,39,37
Florida Geriatrics,P24,F164,56,55,57,56,53,52,53,49,45,47,48,49
Florida Geriatrics,P24,F204,34,33,32,32,35,33,35,35,35,35,33,32
Florida Geriatrics,P24,F23,96,104,104,104,99,97,95,97,95,94,90,91
Florida Geriatrics,P24,F262,44,43,41,42,44,43,39,41,42,44,46,46
Florida Geriatrics,P24,F281,17,17,15,14,14,15,15,15,12,12,11,11
Florida Geriatrics,P24,F282,24,23,22,25,26,26,25,24,22,22,22,21
Florida Geriatrics,P24,F35,22,22,21,23,21,22,19,20,20,19,22,22
Florida Geriatrics,P24,F381,7,8,7,6,6,7,7,7,6,6,5,5
Florida Geriatrics,P24,F42,49,50,50,49,53,51,48,47,47,45,49,49
Florida Geriatrics,P24,F502,42,39,40,42,42,41,41,41,40,38,44,45
Florida Geriatrics,P24,F583,7,8,10,11,11,12,14,14,15,15,15,14
Florida Geriatrics,P24,F607,25,45,48,50,51,53,54,58,62,60,61,55
Florida Geriatrics,P24,F68,40,41,46,45,40,40,40,41,40,39,40,39
Florida Geriatrics,P24,F83,41,41,41,44,46,48,47,52,56,57,63,62
Florida Geriatrics,P24,F953,0,2,10,13,15,22,20,21,21,23,25,31
Florida Geriatrics,P33,F105,30,31,34,33,34,33,29,32,27,28,26,22
Florida Geriatrics,P33,F140,21,22,22,20,23,21,21,19,19,19,20,19
Florida Geriatrics,P33,F164,56,55,57,56,53,52,53,49,45,47,48,49
Florida Geriatrics,P33,F181,56,56,58,58,55,54,53,54,53,47,46,42
Florida Geriatrics,P33,F182,28,27,30,33,30,32,31,34,35,36,35,35
Florida Geriatrics,P33,F202,59,61,64,64,66,69,65,63,62,63,63,62
Florida Geriatrics,P33,F252,59,56,58,57,56,55,55,58,59,56,58,55
Florida Geriatrics,P33,F282,24,23,22,25,26,26,25,24,22,22,22,21
Florida Geriatrics,P33,F311,80,89,88,86,84,83,78,72,74,78,76,76
Florida Geriatrics,P33,F342,87,92,89,90,93,92,94,98,94,90,83,80
Florida Geriatrics,P33,F435,51,55,55,52,54,58,59,63,70,74,79,81
Florida Geriatrics,P33,F502,42,39,40,42,42,41,41,41,40,38,44,45
Florida Geriatrics,P33,F583,7,8,10,11,11,12,14,14,15,15,15,14
Florida Geriatrics,P33,F596,35,43,47,51,53,52,52,50,48,50,53,51
Florida Geriatrics,P33,F61,34,34,32,31,33,34,33,35,38,38,38,34
Florida Geriatrics,P33,F68,40,41,46,45,40,40,40,41,40,39,40,39
Florida Geriatrics,P33,F710,12,9,8,8,9,8,9,10,11,15,18,19
Florida Geriatrics,P33,F83,41,41,41,44,46,48,47,52,56,57,63,62
Florida Geriatrics,P33,F953,0,2,10,13,15,22,20,21,21,23,25,31
Florida Geriatrics,P35,F1085,0,0,0,0,1,5,14,19,18,22,21,21
Florida Geriatrics,P35,F1148,0,0,0,0,0,0,0,0,0,0,25,27
Florida Geriatrics,P35,F164,56,55,57,56,53,52,53,49,45,47,48,49
Florida Geriatrics,P35,F184,11,6,1,0,0,0,0,0,0,0,0,0
Florida Geriatrics,P35,F185,7,7,7,7,6,5,5,5,5,3,0,0
Florida Geriatrics,P35,F191,57,52,51,50,52,47,47,50,49,49,51,52
Florida Geriatrics,P35,F202,59,61,64,64,66,69,65,63,62,63,63,62
Florida Geriatrics,P35,F269,17,51,51,52,57,57,52,57,54,52,48,50
Florida Geriatrics,P35,F294,32,33,31,32,34,34,33,32,33,27,13,7
Florida Geriatrics,P35,F295,36,39,38,39,40,37,36,34,33,28,0,0
Florida Geriatrics,P35,F298,30,29,27,28,29,30,29,29,27,26,27,28
Florida Geriatrics,P35,F502,42,39,40,42,42,41,41,41,40,38,44,45
Florida Geriatrics,P35,F535,5,4,3,4,4,5,5,5,5,5,5,5
Florida Geriatrics,P35,F560,37,37,35,34,30,29,30,29,28,28,33,37
Florida Geriatrics,P35,F606,9,12,18,21,23,23,25,25,25,28,28,31
Florida Geriatrics,P35,F63,31,30,30,29,32,30,33,37,35,35,37,40
Florida Geriatrics,P35,F695,6,6,4,5,6,6,6,6,5,4,0,0
Florida Geriatrics,P35,F701,13,15,13,17,16,14,16,15,16,17,17,19
Florida Geriatrics,P35,F829,4,4,4,4,5,5,5,5,5,5,5,5
Florida Geriatrics,P35,F859,2,2,2,4,4,4,4,4,4,4,4,6
Florida Geriatrics,P35,F92,133,131,131,127,124,123,125,126,134,130,0,0
Florida Geriatrics,P37,F1035,0,0,0,31,38,40,39,41,44,46,45,47
Florida Geriatrics,P37,F188,10,10,11,12,13,13,13,13,14,15,13,12
Florida Geriatrics,P37,F189,11,13,13,13,13,14,16,15,15,15,15,19
Florida Geriatrics,P37,F192,30,31,31,36,36,39,42,43,40,37,36,35
Florida Geriatrics,P37,F211,49,49,49,49,49,48,47,44,45,46,46,49
Florida Geriatrics,P37,F271,17,18,18,19,19,20,18,16,16,16,13,12
Florida Geriatrics,P37,F30,48,44,44,45,46,41,46,49,48,44,44,44
Florida Geriatrics,P37,F322,34,37,34,32,32,36,34,35,34,35,35,35
Florida Geriatrics,P37,F391,22,21,24,23,24,23,21,22,23,22,23,24
Florida Geriatrics,P37,F392,29,28,27,27,27,26,24,24,25,24,22,21
Florida Geriatrics,P37,F399,86,86,83,82,91,88,89,91,95,92,91,96
Florida Geriatrics,P37,F410,44,42,45,44,44,46,47,46,47,47,45,43
Florida Geriatrics,P37,F66,70,68,69,67,70,67,65,68,69,69,72,75
Florida Geriatrics,P37,F76,60,61,58,56,55,55,54,51,49,49,50,48
Florida Geriatrics,P37,F786,6,13,14,15,17,18,19,19,19,16,17,18
Florida Geriatrics,P37,F844,10,10,11,12,12,13,13,13,14,14,12,10
Florida Geriatrics,P37,F953,0,2,10,13,15,22,20,21,21,23,25,31
Florida Geriatrics,P39,F1011,0,0,1,8,10,9,12,14,16,16,20,22
Florida Geriatrics,P39,F1032,0,0,0,3,5,9,10,10,10,13,17,17
Florida Geriatrics,P39,F1035,0,0,0,31,38,40,39,41,44,46,45,47
Florida Geriatrics,P39,F105,30,31,34,33,34,33,29,32,27,28,26,22
Florida Geriatrics,P39,F1050,0,0,0,5,6,5,8,8,9,9,14,14
Florida Geriatrics,P39,F1069,0,0,0,0,2,4,5,8,11,14,13,13
Florida Geriatrics,P39,F1085,0,0,0,0,1,5,14,19,18,22,21,21
Florida Geriatrics,P39,F109,63,63,64,65,65,66,66,64,67,66,65,65
Florida Geriatrics,P39,F1096,0,0,0,0,0,0,3,3,5,7,6,5
Florida Geriatrics,P39,F110,61,60,57,61,61,62,61,57,57,57,54,53
Florida Geriatrics,P39,F1103,0,0,0,0,0,0,6,10,14,16,16,16
Florida Geriatrics,P39,F1138,0,0,0,0,0,0,0,0,0,5,7,10
Florida Geriatrics,P39,F1146,0,0,0,0,0,0,0,0,0,6,9,12
Florida Geriatrics,P39,F1148,0,0,0,0,0,0,0,0,0,0,25,27
Florida Geriatrics,P39,F125,24,27,31,32,31,29,26,30,31,33,32,36
Florida Geriatrics,P39,F126,27,28,29,29,32,31,29,29,32,31,31,31
Florida Geriatrics,P39,F140,21,22,22,20,23,21,21,19,19,19,20,19
Florida Geriatrics,P39,F141,24,23,23,21,21,19,19,18,18,18,18,20
Florida Geriatrics,P39,F144,25,30,30,32,32,32,30,30,30,30,29,29
Florida Geriatrics,P39,F146,35,35,38,39,40,38,39,38,36,38,39,37
Florida Geriatrics,P39,F151,21,22,23,23,23,23,22,21,24,23,24,22
Florida Geriatrics,P39,F154,24,28,30,29,26,24,24,21,22,22,20,21
Florida Geriatrics,P39,F156,66,64,59,63,64,67,61,65,60,59,55,52
Florida Geriatrics,P39,F164,56,55,57,56,53,52,53,49,45,47,48,49
Florida Geriatrics,P39,F181,56,56,58,58,55,54,53,54,53,47,46,42
Florida Geriatrics,P39,F185,7,7,7,7,6,5,5,5,5,3,0,0
Florida Geriatrics,P39,F188,10,10,11,12,13,13,13,13,14,15,13,12
Florida Geriatrics,P39,F189,11,13,13,13,13,14,16,15,15,15,15,19
Florida Geriatrics,P39,F191,57,52,51,50,52,47,47,50,49,49,51,52
Florida Geriatrics,P39,F192,30,31,31,36,36,39,42,43,40,37,36,35
Florida Geriatrics,P39,F202,59,61,64,64,66,69,65,63,62,63,63,62
Florida Geriatrics,P39,F205,31,30,32,31,32,33,35,36,40,36,38,40
Florida Geriatrics,P39,F211,49,49,49,49,49,48,47,44,45,46,46,49
Florida Geriatrics,P39,F216,10,39,40,39,42,43,42,42,44,44,40,38
Florida Geriatrics,P39,F22,46,48,47,46,47,51,56,57,57,56,60,64
Florida Geriatrics,P39,F227,46,46,42,40,42,43,46,46,44,45,44,45
Florida Geriatrics,P39,F228,15,15,16,14,14,14,16,17,17,14,15,14
Florida Geriatrics,P39,F23,96,104,104,104,99,97,95,97,95,94,90,91
Florida Geriatrics,P39,F230,3,6,16,19,23,24,25,24,25,23,25,24
Florida Geriatrics,P39,F252,59,56,58,57,56,55,55,58,59,56,58,55
Florida Geriatrics,P39,F258,28,26,28,25,27,25,24,22,22,22,23,26
Florida Geriatrics,P39,F269,17,51,51,52,57,57,52,57,54,52,48,50
Florida Geriatrics,P39,F271,17,18,18,19,19,20,18,16,16,16,13,12
Florida Geriatrics,P39,F272,28,29,33,34,31,29,28,29,28,28,26,25
Florida Geriatrics,P39,F282,24,23,22,25,26,26,25,24,22,22,22,21
Florida Geriatrics,P39,F294,32,33,31,32,34,34,33,32,33,27,13,7
Florida Geriatrics,P39,F295,36,39,38,39,40,37,36,34,33,28,0,0
Florida Geriatrics,P39,F298,30,29,27,28,29,30,29,29,27,26,27,28
Florida Geriatrics,P39,F30,48,44,44,45,46,41,46,49,48,44,44,44
Florida Geriatrics,P39,F311,80,89,88,86,84,83,78,72,74,78,76,76
Florida Geriatrics,P39,F312,32,31,32,30,33,30,31,29,33,30,31,30
Florida Geriatrics,P39,F316,21,22,23,23,25,26,24,23,24,24,25,22
Florida Geriatrics,P39,F322,34,37,34,32,32,36,34,35,34,35,35,35
Florida Geriatrics,P39,F33,46,45,46,48,44,43,43,43,43,42,46,50
Florida Geriatrics,P39,F331,66,63,63,64,62,56,60,60,52,51,52,53
Florida Geriatrics,P39,F333,46,47,48,56,54,54,56,56,56,55,62,62
Florida Geriatrics,P39,F34,87,86,86,88,79,71,69,73,75,75,77,77
Florida Geriatrics,P39,F342,87,92,89,90,93,92,94,98,94,90,83,80
Florida Geriatrics,P39,F349,10,10,10,9,9,8,11,11,14,17,21,23
Florida Geriatrics,P39,F35,22,22,21,23,21,22,19,20,20,19,22,22
Florida Geriatrics,P39,F367,29,36,34,33,31,28,28,26,26,27,27,27
Florida Geriatrics,P39,F381,7,8,7,6,6,7,7,7,6,6,5,5
Florida Geriatrics,P39,F391,22,21,24,23,24,23,21,22,23,22,23,24
Florida Geriatrics,P39,F392,29,28,27,27,27,26,24,24,25,24,22,21
Florida Geriatrics,P39,F399,86,86,83,82,91,88,89,91,95,92,91,96
Florida Geriatrics,P39,F410,44,42,45,44,44,46,47,46,47,47,45,43
Florida Geriatrics,P39,F42,49,50,50,49,53,51,48,47,47,45,49,49
Florida Geriatrics,P39,F435,51,55,55,52,54,58,59,63,70,74,79,81
Florida Geriatrics,P39,F486,12,12,12,12,11,10,10,9,8,5,0,0
Florida Geriatrics,P39,F491,60,63,62,64,61,59,59,58,58,63,58,59
Florida Geriatrics,P39,F502,42,39,40,42,42,41,41,41,40,38,44,45
Florida Geriatrics,P39,F535,5,4,3,4,4,5,5,5,5,5,5,5
Florida Geriatrics,P39,F546,71,72,71,65,60,63,65,63,64,64,64,64
Florida Geriatrics,P39,F560,37,37,35,34,30,29,30,29,28,28,33,37
Florida Geriatrics,P39,F562,10,10,9,8,8,7,8,9,9,9,11,12
Florida Geriatrics,P39,F583,7,8,10,11,11,12,14,14,15,15,15,14
Florida Geriatrics,P39,F596,35,43,47,51,53,52,52,50,48,50,53,51
Florida Geriatrics,P39,F597,21,19,21,23,25,24,24,21,24,23,19,21
Florida Geriatrics,P39,F605,28,28,24,21,20,19,18,17,15,15,15,14
Florida Geriatrics,P39,F606,9,12,18,21,23,23,25,25,25,28,28,31
Florida Geriatrics,P39,F607,25,45,48,50,51,53,54,58,62,60,61,55
Florida Geriatrics,P39,F63,31,30,30,29,32,30,33,37,35,35,37,40
Florida Geriatrics,P39,F66,70,68,69,67,70,67,65,68,69,69,72,75
Florida Geriatrics,P39,F660,2,2,13,26,26,26,23,24,25,24,24,24
Florida Geriatrics,P39,F68,40,41,46,45,40,40,40,41,40,39,40,39
Florida Geriatrics,P39,F69,42,42,42,41,39,38,36,35,36,35,42,44
Florida Geriatrics,P39,F695,6,6,4,5,6,6,6,6,5,4,0,0
Florida Geriatrics,P39,F70,17,21,17,16,16,16,15,17,17,18,19,17
Florida Geriatrics,P39,F701,13,15,13,17,16,14,16,15,16,17,17,19
Florida Geriatrics,P39,F710,12,9,8,8,9,8,9,10,11,15,18,19
Florida Geriatrics,P39,F76,60,61,58,56,55,55,54,51,49,49,50,48
Florida Geriatrics,P39,F786,6,13,14,15,17,18,19,19,19,16,17,18
Florida Geriatrics,P39,F82,27,28,25,22,23,20,15,16,16,0,0,0
Florida Geriatrics,P39,F829,4,4,4,4,5,5,5,5,5,5,5,5
Florida Geriatrics,P39,F83,41,41,41,44,46,48,47,52,56,57,63,62
Florida Geriatrics,P39,F844,10,10,11,12,12,13,13,13,14,14,12,10
Florida Geriatrics,P39,F859,2,2,2,4,4,4,4,4,4,4,4,6
Florida Geriatrics,P39,F89,59,62,63,61,60,59,58,59,59,58,58,60
Florida Geriatrics,P39,F94,12,11,10,10,9,9,9,9,0,0,0,0
Florida Geriatrics,P39,F95,41,39,39,38,38,34,32,29,28,28,28,28
Florida Geriatrics,P39,F953,0,2,10,13,15,22,20,21,21,23,25,31
Florida Geriatrics,P40,F1069,0,0,0,0,2,4,5,8,11,14,13,13
Florida Geriatrics,P40,F109,63,63,64,65,65,66,66,64,67,66,65,65
Florida Geriatrics,P40,F110,61,60,57,61,61,62,61,57,57,57,54,53
